e	q	rnow	vq	gx	gy	gz	VX_ceu	VY_ceu	VZ_ceu	x	y	vx	vy	spx	spy	spz	qx	qy	qz	vsys	Dir	spin-orb	PERIC pos-peri hash file
0.5 40 79.5854 358.836 26.529 32.793 -67.4883  156.09 -89.4528 -104.893 -69.2783 -39.170914 -1.86909 -208.242126 -0.660244 -0.540045 -0.521947 -0.749927 0.436023 0.497488 -104.893 Ret 92.8962 POS 119.484 b180bc1efb1511442d5b28c0a0225d05 simulation_arp245-1.0.tar.gz
0.5 40 79.5854 358.836 26.529 32.793 -67.4883 -134.533 53.3678 -149.736 -69.2783 -39.170914 -1.86909 -208.242126 -0.0911703 0.909313 0.406003 0.652791 -0.253314 0.713929 -149.736 Ret 130.071 POS 119.484 fb05d30769012431cb74946c788e0af2 simulation_arp245-1.1.tar.gz
0.5 40 79.5854 358.836 26.529 32.793 -67.4883 174.923 -70.5289 -88.2945 -69.2783 -39.170914 -1.86909 -208.242126 -0.533344 -0.659276 -0.529999 -0.840828 0.344685 0.417374 -88.2945 Pro 84.0577 POS 119.484 1dc3a849caa5e729b381d9a3c4540d3f simulation_arp245-1.2.tar.gz
0.5 40 79.5854 358.836 26.529 32.793 -67.4883 -134.533 53.3678 -149.736 -69.2783 -39.170914 -1.86909 -208.242126 -0.0911701 0.909313 0.406003 0.652791 -0.253315 0.713929 -149.736 Ret 130.071 POS 119.484 e1dd4ada836ca04ceaa2b4cf486c52eb simulation_arp245-1.3.tar.gz
0.5 40 79.5854 358.836 26.529 32.793 -67.4883 -105.507 156.335 -88.2945 -69.2783 -39.170914 -1.86909 -208.242126 0.533344 0.659276 0.529999 0.512697 -0.750294 0.417374 -88.2945 Ret 95.9423 POS 119.484 e9b5b78f35ab664b45967c6589913ca9 simulation_arp245-1.3.tar.gz
0.5 40 49.1901 358.836 26.529 32.793 -25.3081 264.957 -129.377 -98.7262 -44.1844 21.619677 -224.754 -214.879852 -0.453676 -0.284703 -0.844466 -0.400216 0.911753 -0.092378 -98.7262 Ret 105.708 POS 63.9272 77a880efdce7699a47867942a7798e18 simulation_arp245-2.0.tar.gz
0.5 40 49.1901 358.836 26.529 32.793 -25.3081 264.957 -129.377 -98.7262 -44.1844 21.619677 -224.754 -214.879852 -0.453676 -0.284703 -0.844466 -0.400216 0.911753 -0.0923779 -98.7262 Ret 105.708 POS 63.9272 to-do to-do
0.5 40 48.3437 358.836 26.529 32.793 -23.6209 268.98 -132.404 -96.1823 -42.3514 23.312502 -234.972 -209.571823 -0.437639 -0.264879 -0.859251 -0.359364 0.927508 -0.102887 -96.1823 Ret 106.519 POS 61.1692 29b67eb88951de3ed95811321267f4f1 simulation_arp245-2.2.tar.gz
0.5 40 48.3437 358.836 26.529 32.793 -23.6209 268.98 -132.404 -96.1824 -42.3514 23.312502 -234.972 -209.571823 -0.437639 -0.264879 -0.859251 -0.359364 0.927508 -0.102887 -96.1824 Ret 106.519 POS 61.1693 fbf60f032395ef6618b5dd7a0a97891c simulation_arp245-2.3.tar.gz
0.5 40 48.3437 358.836 26.529 32.793 -23.6209 -185.663 235.394 -96.1823 -42.3514 23.312502 -234.972 -209.571823 0.167633 0.483309 0.859251 0.982109 -0.157721 -0.102887 -96.1823 Ret 91.1817 POS 61.1692 6e2643d6b83802625cb5ed4fa10f78c1 simulation_arp245-2.4.tar.gz
