time	x_f	y_f	z_f	Vx_f	Vy_f	Vz_f	x_nf	y_nf	z_nf	Vx_nf	Vy_nf	Vz_nf	x_kepl	y_kepl	z_kepl	Vx_kepl	Vy_kepl	Vz_kepl
-1000.00000	50.61950	-206.96500	106.53800	18.37270	194.46500	-112.96700	32.71610	-178.15600	93.82580	41.20040	152.61800	-93.88180	-51.70890	-137.91600	87.66260	119.24700	79.53950	-68.00340
-999.90300	50.62140	-206.94600	106.52700	18.37170	194.46900	-112.96900	32.72030	-178.14100	93.81620	41.19940	152.62300	-93.88470	-51.69670	-137.90800	87.65560	119.24900	79.54640	-68.00790
-999.80300	50.62320	-206.92600	106.51500	18.37070	194.47300	-112.97100	32.72450	-178.12500	93.80660	41.19850	152.62800	-93.88750	-51.68450	-137.90000	87.64870	119.25200	79.55340	-68.01230
-999.70300	50.62510	-206.90600	106.50400	18.36970	194.47700	-112.97300	32.72870	-178.10900	93.79700	41.19750	152.63400	-93.89030	-51.67230	-137.89200	87.64170	119.25400	79.56040	-68.01670
-999.60300	50.62700	-206.88600	106.49200	18.36870	194.48100	-112.97500	32.73290	-178.09400	93.78740	41.19650	152.63900	-93.89310	-51.66010	-137.88400	87.63480	119.25700	79.56740	-68.02120
-999.50300	50.62890	-206.86600	106.48100	18.36780	194.48500	-112.97700	32.73710	-178.07800	93.77780	41.19550	152.64500	-93.89590	-51.64790	-137.87500	87.62780	119.26000	79.57430	-68.02560
-999.40300	50.63070	-206.84600	106.46900	18.36680	194.48900	-112.97900	32.74130	-178.06200	93.76820	41.19450	152.65000	-93.89880	-51.63570	-137.86700	87.62090	119.26200	79.58130	-68.03010
-999.30300	50.63260	-206.82600	106.45800	18.36580	194.49300	-112.98100	32.74560	-178.04700	93.75860	41.19350	152.65500	-93.90160	-51.62350	-137.85900	87.61390	119.26500	79.58830	-68.03450
-999.20300	50.63450	-206.80600	106.44600	18.36480	194.49700	-112.98300	32.74980	-178.03100	93.74890	41.19250	152.66100	-93.90440	-51.61130	-137.85100	87.60700	119.26800	79.59530	-68.03890
-999.10300	50.63640	-206.78600	106.43400	18.36380	194.50100	-112.98500	32.75400	-178.01600	93.73930	41.19160	152.66600	-93.90720	-51.59910	-137.84300	87.60000	119.27000	79.60230	-68.04340
-999.00300	50.63820	-206.76700	106.42300	18.36290	194.50400	-112.98700	32.75820	-178.00000	93.72970	41.19060	152.67100	-93.91010	-51.58690	-137.83500	87.59310	119.27300	79.60930	-68.04780
-998.90300	50.64010	-206.74700	106.41100	18.36190	194.50800	-112.98900	32.76240	-177.98400	93.72010	41.18960	152.67700	-93.91290	-51.57470	-137.82700	87.58610	119.27500	79.61630	-68.05220
-998.80300	50.64200	-206.72700	106.40000	18.36090	194.51200	-112.99100	32.76660	-177.96900	93.71050	41.18860	152.68200	-93.91570	-51.56250	-137.81800	87.57920	119.27800	79.62320	-68.05670
-998.70300	50.64390	-206.70700	106.38800	18.35990	194.51600	-112.99300	32.77080	-177.95300	93.70090	41.18760	152.68700	-93.91860	-51.55030	-137.81000	87.57220	119.28100	79.63020	-68.06110
-998.60300	50.64570	-206.68700	106.37700	18.35890	194.52000	-112.99500	32.77500	-177.93700	93.69130	41.18660	152.69300	-93.92140	-51.53810	-137.80200	87.56520	119.28300	79.63720	-68.06560
-998.50300	50.64760	-206.66700	106.36500	18.35790	194.52400	-112.99700	32.77920	-177.92200	93.68170	41.18560	152.69800	-93.92420	-51.52590	-137.79400	87.55830	119.28600	79.64420	-68.07000
-998.40300	50.64950	-206.64700	106.35300	18.35690	194.52800	-112.99900	32.78350	-177.90600	93.67210	41.18460	152.70400	-93.92700	-51.51370	-137.78600	87.55130	119.28900	79.65120	-68.07450
-998.30300	50.65140	-206.62700	106.34200	18.35600	194.53200	-113.00100	32.78770	-177.89100	93.66250	41.18360	152.70900	-93.92990	-51.50150	-137.77800	87.54430	119.29100	79.65820	-68.07890
-998.20300	50.65330	-206.60700	106.33000	18.35500	194.53600	-113.00300	32.79190	-177.87500	93.65290	41.18270	152.71400	-93.93270	-51.48930	-137.76900	87.53740	119.29400	79.66520	-68.08340
-998.10300	50.65510	-206.58700	106.31900	18.35400	194.54000	-113.00500	32.79610	-177.85900	93.64320	41.18170	152.72000	-93.93550	-51.47710	-137.76100	87.53040	119.29600	79.67220	-68.08780
-998.00300	50.65700	-206.56700	106.30700	18.35300	194.54400	-113.00800	32.80030	-177.84400	93.63360	41.18070	152.72500	-93.93830	-51.46490	-137.75300	87.52340	119.29900	79.67920	-68.09220
-997.90300	50.65890	-206.54800	106.29600	18.35200	194.54800	-113.01000	32.80450	-177.82800	93.62400	41.17970	152.73000	-93.94120	-51.45270	-137.74500	87.51650	119.30200	79.68620	-68.09670
-997.80300	50.66080	-206.52800	106.28400	18.35100	194.55200	-113.01200	32.80870	-177.81200	93.61440	41.17870	152.73600	-93.94400	-51.44050	-137.73700	87.50950	119.30400	79.69320	-68.10110
-997.70300	50.66260	-206.50800	106.27300	18.35000	194.55500	-113.01400	32.81290	-177.79700	93.60480	41.17770	152.74100	-93.94680	-51.42830	-137.72900	87.50250	119.30700	79.70020	-68.10560
-997.60300	50.66450	-206.48800	106.26100	18.34900	194.55900	-113.01600	32.81710	-177.78100	93.59520	41.17670	152.74700	-93.94970	-51.41610	-137.72100	87.49560	119.30900	79.70720	-68.11000
-997.50300	50.66640	-206.46800	106.24900	18.34810	194.56300	-113.01800	32.82140	-177.76600	93.58560	41.17570	152.75200	-93.95250	-51.40390	-137.71200	87.48860	119.31200	79.71420	-68.11450
-997.40400	50.66830	-206.44800	106.23800	18.34710	194.56700	-113.02000	32.82560	-177.75000	93.57600	41.17470	152.75700	-93.95530	-51.39170	-137.70400	87.48160	119.31500	79.72120	-68.11890
-997.30400	50.67010	-206.42800	106.22600	18.34610	194.57100	-113.02200	32.82980	-177.73400	93.56640	41.17370	152.76300	-93.95820	-51.37950	-137.69600	87.47460	119.31700	79.72820	-68.12340
-997.20400	50.67200	-206.40800	106.21500	18.34510	194.57500	-113.02400	32.83400	-177.71900	93.55680	41.17270	152.76800	-93.96100	-51.36730	-137.68800	87.46770	119.32000	79.73520	-68.12790
-997.10400	50.67390	-206.38800	106.20300	18.34410	194.57900	-113.02600	32.83820	-177.70300	93.54710	41.17170	152.77300	-93.96380	-51.35510	-137.68000	87.46070	119.32300	79.74230	-68.13230
-997.00400	50.67580	-206.36800	106.19200	18.34310	194.58300	-113.02800	32.84240	-177.68700	93.53750	41.17070	152.77900	-93.96670	-51.34290	-137.67200	87.45370	119.32500	79.74930	-68.13680
-996.90400	50.67760	-206.34900	106.18000	18.34210	194.58700	-113.03000	32.84660	-177.67200	93.52790	41.16970	152.78400	-93.96950	-51.33070	-137.66300	87.44680	119.32800	79.75630	-68.14120
-996.80400	50.67950	-206.32900	106.16800	18.34110	194.59100	-113.03200	32.85080	-177.65600	93.51830	41.16870	152.79000	-93.97230	-51.31850	-137.65500	87.43980	119.33000	79.76330	-68.14570
-996.70400	50.68140	-206.30900	106.15700	18.34010	194.59500	-113.03400	32.85500	-177.64100	93.50870	41.16770	152.79500	-93.97520	-51.30630	-137.64700	87.43280	119.33300	79.77030	-68.15010
-996.60400	50.68330	-206.28900	106.14500	18.33920	194.59900	-113.03600	32.85930	-177.62500	93.49910	41.16680	152.80000	-93.97800	-51.29410	-137.63900	87.42590	119.33600	79.77730	-68.15460
-996.50400	50.68510	-206.26900	106.13400	18.33820	194.60300	-113.03800	32.86350	-177.60900	93.48950	41.16580	152.80600	-93.98090	-51.28190	-137.63100	87.41890	119.33800	79.78430	-68.15900
-996.40400	50.68700	-206.24900	106.12200	18.33720	194.60700	-113.04000	32.86770	-177.59400	93.47990	41.16480	152.81100	-93.98370	-51.26970	-137.62300	87.41190	119.34100	79.79140	-68.16350
-996.30400	50.68890	-206.22900	106.11100	18.33620	194.61100	-113.04200	32.87190	-177.57800	93.47030	41.16380	152.81700	-93.98650	-51.25750	-137.61500	87.40500	119.34400	79.79840	-68.16800
-996.20400	50.69080	-206.20900	106.09900	18.33520	194.61400	-113.04400	32.87610	-177.56200	93.46070	41.16280	152.82200	-93.98940	-51.24530	-137.60600	87.39800	119.34600	79.80540	-68.17240
-996.10400	50.69260	-206.18900	106.08800	18.33420	194.61800	-113.04600	32.88030	-177.54700	93.45110	41.16180	152.82700	-93.99220	-51.23310	-137.59800	87.39100	119.34900	79.81240	-68.17690
-996.00400	50.69450	-206.16900	106.07600	18.33320	194.62200	-113.04800	32.88450	-177.53100	93.44140	41.16080	152.83300	-93.99500	-51.22090	-137.59000	87.38410	119.35100	79.81950	-68.18140
-995.90400	50.69640	-206.14900	106.06400	18.33220	194.62600	-113.05000	32.88870	-177.51600	93.43180	41.15980	152.83800	-93.99790	-51.20870	-137.58200	87.37710	119.35400	79.82650	-68.18580
-995.80400	50.69820	-206.13000	106.05300	18.33120	194.63000	-113.05200	32.89290	-177.50000	93.42220	41.15880	152.84300	-94.00070	-51.19650	-137.57400	87.37010	119.35700	79.83350	-68.19030
-995.70400	50.70010	-206.11000	106.04100	18.33020	194.63400	-113.05400	32.89720	-177.48400	93.41260	41.15780	152.84900	-94.00350	-51.18420	-137.56600	87.36320	119.35900	79.84050	-68.19470
-995.60400	50.70200	-206.09000	106.03000	18.32920	194.63800	-113.05600	32.90140	-177.46900	93.40300	41.15680	152.85400	-94.00640	-51.17200	-137.55700	87.35620	119.36200	79.84760	-68.19920
-995.50400	50.70390	-206.07000	106.01800	18.32820	194.64200	-113.05800	32.90560	-177.45300	93.39340	41.15580	152.86000	-94.00920	-51.15980	-137.54900	87.34920	119.36400	79.85460	-68.20370
-995.40400	50.70570	-206.05000	106.00700	18.32720	194.64600	-113.06000	32.90980	-177.43700	93.38380	41.15480	152.86500	-94.01210	-51.14760	-137.54100	87.34220	119.36700	79.86160	-68.20810
-995.30400	50.70760	-206.03000	105.99500	18.32620	194.65000	-113.06200	32.91400	-177.42200	93.37420	41.15380	152.87000	-94.01490	-51.13540	-137.53300	87.33530	119.37000	79.86870	-68.21260
-995.20400	50.70950	-206.01000	105.98300	18.32530	194.65400	-113.06400	32.91820	-177.40600	93.36460	41.15280	152.87600	-94.01780	-51.12320	-137.52500	87.32830	119.37200	79.87570	-68.21710
-995.10400	50.71140	-205.99000	105.97200	18.32430	194.65800	-113.06600	32.92240	-177.39100	93.35500	41.15180	152.88100	-94.02060	-51.11100	-137.51700	87.32130	119.37500	79.88280	-68.22150
-995.00400	50.71320	-205.97000	105.96000	18.32330	194.66200	-113.06800	32.92660	-177.37500	93.34540	41.15080	152.88700	-94.02340	-51.09880	-137.50800	87.31430	119.37800	79.88980	-68.22600
-994.90400	50.71510	-205.95000	105.94900	18.32230	194.66600	-113.07000	32.93080	-177.35900	93.33570	41.14980	152.89200	-94.02630	-51.08660	-137.50000	87.30730	119.38000	79.89680	-68.23050
-994.80400	50.71700	-205.93000	105.93700	18.32130	194.67000	-113.07200	32.93510	-177.34400	93.32610	41.14880	152.89700	-94.02910	-51.07440	-137.49200	87.30040	119.38300	79.90390	-68.23490
-994.70400	50.71890	-205.91100	105.92600	18.32030	194.67400	-113.07400	32.93930	-177.32800	93.31650	41.14770	152.90300	-94.03200	-51.06210	-137.48400	87.29340	119.38500	79.91090	-68.23940
-994.60400	50.72070	-205.89100	105.91400	18.31930	194.67800	-113.07600	32.94350	-177.31200	93.30690	41.14670	152.90800	-94.03480	-51.04990	-137.47600	87.28640	119.38800	79.91800	-68.24390
-994.50400	50.72260	-205.87100	105.90300	18.31830	194.68200	-113.07800	32.94770	-177.29700	93.29730	41.14570	152.91400	-94.03770	-51.03770	-137.46800	87.27940	119.39100	79.92500	-68.24840
-994.40400	50.72450	-205.85100	105.89100	18.31730	194.68500	-113.08000	32.95190	-177.28100	93.28770	41.14470	152.91900	-94.04050	-51.02550	-137.45900	87.27240	119.39300	79.93200	-68.25280
-994.30400	50.72640	-205.83100	105.87900	18.31630	194.68900	-113.08200	32.95610	-177.26600	93.27800	41.14370	152.92400	-94.04330	-51.01330	-137.45100	87.26540	119.39600	79.93910	-68.25730
-994.20400	50.72820	-205.81100	105.86800	18.31530	194.69300	-113.08400	32.96030	-177.25000	93.26840	41.14270	152.93000	-94.04620	-51.00110	-137.44300	87.25850	119.39800	79.94610	-68.26180
-994.10400	50.73010	-205.79100	105.85600	18.31430	194.69700	-113.08600	32.96450	-177.23400	93.25880	41.14170	152.93500	-94.04900	-50.98890	-137.43500	87.25150	119.40100	79.95320	-68.26630
-994.00400	50.73200	-205.77100	105.84500	18.31330	194.70100	-113.08800	32.96870	-177.21900	93.24920	41.14070	152.94100	-94.05190	-50.97670	-137.42700	87.24450	119.40400	79.96020	-68.27070
-993.90400	50.73390	-205.75100	105.83300	18.31230	194.70500	-113.09000	32.97290	-177.20300	93.23950	41.13970	152.94600	-94.05470	-50.96450	-137.41900	87.23750	119.40600	79.96730	-68.27520
-993.80400	50.73570	-205.73100	105.82200	18.31130	194.70900	-113.09200	32.97720	-177.18700	93.22990	41.13870	152.95200	-94.05760	-50.95220	-137.41000	87.23050	119.40900	79.97430	-68.27970
-993.70400	50.73760	-205.71200	105.81000	18.31030	194.71300	-113.09400	32.98140	-177.17200	93.22030	41.13770	152.95700	-94.06040	-50.94000	-137.40200	87.22350	119.41200	79.98140	-68.28420
-993.60400	50.73950	-205.69200	105.79800	18.30930	194.71700	-113.09700	32.98560	-177.15600	93.21070	41.13670	152.96200	-94.06330	-50.92780	-137.39400	87.21650	119.41400	79.98850	-68.28860
-993.50400	50.74140	-205.67200	105.78700	18.30830	194.72100	-113.09900	32.98980	-177.14000	93.20100	41.13570	152.96800	-94.06610	-50.91560	-137.38600	87.20960	119.41700	79.99550	-68.29310
-993.40400	50.74330	-205.65200	105.77500	18.30730	194.72500	-113.10100	32.99400	-177.12500	93.19140	41.13470	152.97300	-94.06900	-50.90340	-137.37800	87.20260	119.41900	80.00260	-68.29760
-993.30500	50.74510	-205.63200	105.76400	18.30630	194.72900	-113.10300	32.99820	-177.10900	93.18180	41.13370	152.97900	-94.07180	-50.89120	-137.36900	87.19560	119.42200	80.00960	-68.30210
-993.20500	50.74700	-205.61200	105.75200	18.30530	194.73300	-113.10500	33.00240	-177.09300	93.17220	41.13270	152.98400	-94.07470	-50.87900	-137.36100	87.18860	119.42500	80.01670	-68.30660
-993.10500	50.74890	-205.59200	105.74100	18.30430	194.73700	-113.10700	33.00660	-177.07800	93.16250	41.13160	152.98900	-94.07750	-50.86680	-137.35300	87.18160	119.42700	80.02380	-68.31110
-993.00500	50.75080	-205.57200	105.72900	18.30330	194.74100	-113.10900	33.01080	-177.06200	93.15290	41.13060	152.99500	-94.08040	-50.85460	-137.34500	87.17460	119.43000	80.03080	-68.31550
-992.90500	50.75260	-205.55200	105.71800	18.30230	194.74500	-113.11100	33.01500	-177.04600	93.14330	41.12960	153.00000	-94.08320	-50.84230	-137.33700	87.16770	119.43300	80.03790	-68.32000
-992.80500	50.75450	-205.53200	105.70600	18.30130	194.74900	-113.11300	33.01920	-177.03100	93.13370	41.12860	153.00600	-94.08610	-50.83010	-137.32800	87.16070	119.43500	80.04500	-68.32450
